nan -5.043774749117713441e+01 -5.542183074087975569e+01 -5.010400965796370087e+01 -3.239999999999996305e+01 -5.264744565194395420e+01 nan nan nan nan nan nan
-4.415919629603072849e+01 nan -5.542367819557893682e+01 -4.325500652331181328e+01 -3.939999999999996305e+01 nan nan nan nan nan nan nan
-5.015999999999993975e+01 -5.645999999999993690e+01 nan -3.825999999999994827e+01 nan -5.965999999999993975e+01 -5.189059999999990680e+01 -7.279059999999986985e+01 nan nan nan nan
-5.115999999999993975e+01 -5.045999999999993690e+01 -4.443399999999992644e+01 nan -3.139999999999997726e+01 nan nan nan nan nan nan nan
-4.715999999999993975e+01 -6.045999999999993690e+01 nan -4.525999999999994827e+01 nan -5.665999999999993975e+01 nan nan -8.515999999999991132e+01 -1.599999999999999289e+01 -7.945999999999989427e+01 -6.615999999999991132e+01
-4.809318262469820837e+01 nan -6.041108631988328170e+01 nan -3.739999999999996305e+01 nan nan nan nan nan nan nan
nan nan -4.543399999999992644e+01 nan nan nan nan nan nan nan nan nan
nan nan -5.643399999999992644e+01 nan nan nan nan nan nan nan nan nan
nan nan nan nan -5.239999999999996305e+01 nan nan nan nan nan nan nan
nan nan nan nan 0.000000000000000000e+00 nan nan nan nan nan nan nan
nan nan nan nan -4.939999999999996305e+01 nan nan nan nan nan nan nan
nan nan nan nan -4.239999999999996305e+01 nan nan nan nan nan nan nan
